id_programa,nombre_programa,nivel_academico,nombre_facultad,modalidad,jornada
78,ESPECIALIZACION EN NORMAS INTERNACIONALES DE INFORMACION FINANCIERA (NIIF),POSGRADO,CIENCIAS ECONOMICAS Y ADMINISTRATIVAS,PRESENCIAL,DIURNA - NOCTURNA
79,MAESTRIA EN ECONOMIA,POSGRADO,CIENCIAS ECONOMICAS Y ADMINISTRATIVAS,PRESENCIAL,DIURNA - NOCTURNA
80,MAESTRIA EN DERECHOS HUMANOS,POSGRADO,DERECHO Y CIENCIAS  SOCIALES,PRESENCIAL,DIURNA - NOCTURNA
81,ESPECIALIZACION EN ALTA GERENCIA DE EMPRESAS,POSGRADO,ESTUDIOS A DISTANCIA,PRESENCIAL,DIURNA - NOCTURNA
82,ESPECIALIZACION EN GERENCIA DE EMPRESAS DE SALUD,POSGRADO,ESTUDIOS A DISTANCIA,PRESENCIAL,DIURNA - NOCTURNA
83,MAESTRIA EN DIDACTICA DE LA MATEMATICA,POSGRADO,ESTUDIOS A DISTANCIA,PRESENCIAL,DIURNA - NOCTURNA
84,DOCTORADO EN INGENIERIA Y CIENCIA DE LOS MATERIALES,POSGRADO,INGENIERIA,PRESENCIAL,DIURNA - NOCTURNA
85,ESPECIALIZACION EN TRANSITO Y TRANSPORTE,POSGRADO,INGENIERIA,PRESENCIAL,DIURNA - NOCTURNA
86,MAESTRIA EN GEOTECNIA,POSGRADO,INGENIERIA,PRESENCIAL,DIURNA - NOCTURNA
87,MAESTRIA EN GESTION DE INTEGRIDAD Y CORROSION,POSGRADO,INGENIERIA,PRESENCIAL,DIURNA - NOCTURNA
88,"MAESTRIA EN INGENIERIA CON ENFASIS EN TRANSPORTE, EN TRANSITO Y EN INFRAESTRUCTURA VIAL",POSGRADO,INGENIERIA,PRESENCIAL,DIURNA - NOCTURNA
89,MAESTRIA EN METALURGIA Y CIENCIAS DE LOS MATERIALES,POSGRADO,INGENIERIA,PRESENCIAL,DIURNA - NOCTURNA
90,ESPECIALIZACION EN ESTADISTICA,POSGRADO,SECCIONAL DUITAMA,PRESENCIAL,DIURNA - NOCTURNA
91,"ESPECIALIZACION EN NECESIDADES  DE APRENDIZAJE EN LECTURA, ESCRITURA Y MATEMATICAS",POSGRADO,CIENCIAS DE LA EDUCACION,PRESENCIAL,DIURNA - NOCTURNA
92,MAESTRIA  EN GEOGRAFIA,POSGRADO,CIENCIAS DE LA EDUCACION,PRESENCIAL,DIURNA - NOCTURNA
93,MAESTRIA EN EDUCACION MATEMATICA,POSGRADO,CIENCIAS DE LA EDUCACION,PRESENCIAL,DIURNA - NOCTURNA
94,MAESTRIA EN LITERATURA,POSGRADO,CIENCIAS DE LA EDUCACION,PRESENCIAL,DIURNA - NOCTURNA
95,MAESTRIA EN PATRIMONIO CULTURAL,POSGRADO,CIENCIAS DE LA EDUCACION,PRESENCIAL,DIURNA - NOCTURNA
96,MAESTRÍA EN PEDAGOGÍA DE LA CULTURA FÍSICA,POSGRADO,CIENCIAS DE LA EDUCACION,PRESENCIAL,DIURNA - NOCTURNA
97,LICENCIATURA EN ARTES PLASTICAS,PREGRADO,CIENCIAS DE LA EDUCACION,PRESENCIAL,DIURNA
98,"LICENCIATURA EN LENGUAS MODERNAS, CON ENFASIS EN INGLES",PREGRADO,CIENCIAS DE LA EDUCACION,PRESENCIAL,EXTENDIDA
99,ESPECIALIZACION EN SEGURIDAD Y SALUD EN EL TRABAJO,POSGRADO,CIENCIAS DE LA SALUD,PRESENCIAL,DIURNA - NOCTURNA
100,ENFERMERIA,PREGRADO,CIENCIAS DE LA SALUD,PRESENCIAL,DIURNA
101,MAESTRIA EN ADMINISTRACION  DE ORGANIZACIONES,POSGRADO,CIENCIAS ECONOMICAS Y ADMINISTRATIVAS,PRESENCIAL,DIURNA - NOCTURNA
102,ESPECIALIZACION EN DIDACTICA DE LA MATEMATICA PARA LA EDUCACION BASICA,POSGRADO,ESTUDIOS A DISTANCIA,PRESENCIAL,DIURNA - NOCTURNA
103,ESPECIALIZACION EN PEDAGOGIA DE LA LENGUA CASTELLANA Y LITERATURA,POSGRADO,ESTUDIOS A DISTANCIA,PRESENCIAL,DIURNA - NOCTURNA
104,ADMINISTRACION AGROINDUSTRIAL,PREGRADO,ESTUDIOS A DISTANCIA,VIRTUAL,OTRA
105,TECNOLOGIA  EN GESTION AGROINDUSTRIAL,PREGRADO,ESTUDIOS A DISTANCIA,VIRTUAL,OTRA
106,ESPECIALIZACION EN BASES DE DATOS,POSGRADO,INGENIERIA,PRESENCIAL,DIURNA - NOCTURNA
107,ESPECIALIZACION EN GERENCIA DE PROYECTOS DE CONSTRUCCION,POSGRADO,INGENIERIA,PRESENCIAL,DIURNA - NOCTURNA
108,ESPECIALIZACION EN INFRAESTRUCTURA VIAL,POSGRADO,INGENIERIA,PRESENCIAL,DIURNA - NOCTURNA
