id_estudiante,tipo_iden_est,edad,grupo_edad,genero,estrato,estrato_num,grupo_estrato,origen_geografico,departamento,lugar_expedicion
63,C.C.,26,26-30,M,3,3.0,MEDIO,GIGANTE,GIGANTE,TUNJA
64,C.C.,22,21-25,F,3,3.0,MEDIO,TUNJA,TUNJA,TUNJA
65,C.C.,23,21-25,M,1,1.0,BAJO,VILLANUEVA,VILLANUEVA,VILLANUEVA
66,C.C.,22,21-25,F,1,1.0,BAJO,TUNJA,TUNJA,TUNJA
67,C.C.,25,21-25,F,2,2.0,BAJO,CHOCONTÁ,CHOCONTÁ,CHOCONTÁ
68,C.C.,46,31+,M,2,2.0,BAJO,BOGOTÁ D.C.,BOGOTÁ,BOGOTÁ D.C.
69,C.C.,21,21-25,M,2,2.0,BAJO,TUNJA,TUNJA,TUNJA
70,C.C.,22,21-25,F,2,2.0,BAJO,PURIFICACIÓN,PURIFICACIÓN,TUNJA
71,C.C.,26,26-30,M,1,1.0,BAJO,PAZ DE ARIPORO,PAZ,PAZ DE ARIPORO
72,T.I.,22,21-25,M,1,1.0,BAJO,ARAUCA,ARAUCA,ARAUCA
73,C.C.,29,26-30,M,4,4.0,MEDIO,TUNJA,TUNJA,TUNJA
74,C.C.,22,21-25,M,2,2.0,BAJO,MANÍ,MANÍ,BOGOTA D.E
75,C.C.,22,21-25,M,3,3.0,MEDIO,VILLAVICENCIO,VILLAVICENCIO,TUNJA
76,C.C.,22,21-25,F,3,3.0,MEDIO,DUITAMA,DUITAMA,SOGAMOSO
77,C.C.,23,21-25,M,3,3.0,MEDIO,YOPAL,YOPAL,YOPAL
78,T.I.,21,21-25,M,1,1.0,BAJO,DUITAMA,DUITAMA,DUITAMA
79,C.C.,27,26-30,M,1,1.0,BAJO,MEDINA,MEDINA,MEDINA
80,C.C.,26,26-30,M,2,2.0,BAJO,RAMIRIQUÍ,RAMIRIQUÍ,RAMIRIQUÍ
81,C.C.,23,21-25,M,2,2.0,BAJO,NATAGAIMA,NATAGAIMA,TUNJA
82,C.C.,24,21-25,F,2,2.0,BAJO,TIBASOSA,TIBASOSA,TUNJA
83,C.C.,26,26-30,M,1,1.0,BAJO,MADRID,MADRID,MIRAFLORES
84,C.C.,23,21-25,M,1,1.0,BAJO,QUÍPAMA,QUÍPAMA,QUÍPAMA
85,C.C.,23,21-25,M,2,2.0,BAJO,SOGAMOSO,SOGAMOSO,SOGAMOSO
86,C.C.,24,21-25,M,1,1.0,BAJO,CHITARAQUE,CHITARAQUE,TUNJA
87,C.C.,23,21-25,M,2,2.0,BAJO,TUNJA,TUNJA,TUNJA
88,C.C.,22,21-25,F,3,3.0,MEDIO,BOGOTÁ D.C.,BOGOTÁ,BOGOTÁ D.C.
89,T.I.,21,21-25,M,1,1.0,BAJO,FORTUL,FORTUL,FORTUL
90,C.C.,23,21-25,F,2,2.0,BAJO,BOGOTÁ D.C.,BOGOTÁ,BOGOTÁ D.C.
91,C.C.,26,26-30,M,3,3.0,MEDIO,LANDÁZURI,LANDÁZURI,TUNJA
92,C.C.,26,26-30,M,1,1.0,BAJO,EL ESPINO,EL,TUNJA
