periodo,nombre_facultad,nombre_programa,nivel_académico,jornada,modalidad,no_estudiantes,periodo_año,periodo_semestre,institucion,tipo_desercion
PRIMER SEMESTRE 2020,CIENCIAS ECONOMICAS Y ADMINISTRATIVAS,ECONOMIA,PREGRADO,DIURNA,PRESENCIAL,4,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,DERECHO Y CIENCIAS  SOCIALES,DERECHO,PREGRADO,EXTENDIDA,PRESENCIAL,4,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,DERECHO Y CIENCIAS  SOCIALES,DERECHO,PREGRADO,DIURNA,PRESENCIAL,7,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,ESTUDIOS A DISTANCIA,ADMINISTRACION COMERCIAL Y FINANCIERA,PREGRADO,OTRA,VIRTUAL,2,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,ESTUDIOS A DISTANCIA,ADMINISTRACION DE SERVICIOS DE SALUD,PREGRADO,OTRA,VIRTUAL,2,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,ESTUDIOS A DISTANCIA,TECNICA PROFESIONAL  EN PROCESOS COMERCIALES Y FINANCIEROS,PREGRADO,OTRA,VIRTUAL,24,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,ESTUDIOS A DISTANCIA,TECNICA PROFESIONAL EN PROCESOS ADMINISTRATIVOS DE SALUD,PREGRADO,OTRA,VIRTUAL,7,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,ESTUDIOS A DISTANCIA,TECNICA PROFESIONAL EN PROCESOS AGROINDUSTRIALES,PREGRADO,OTRA,VIRTUAL,8,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,ESTUDIOS A DISTANCIA,TECNICO PROFESIONAL EN INSTALACION Y MANTENIMIENTO DE REDES Y COMPUTADORES,PREGRADO,OTRA,DISTANCIA,8,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,ESTUDIOS A DISTANCIA,TECNOLOGIA DE  PROGRAMACION DE SISTEMAS INFORMATICOS,PREGRADO,OTRA,DISTANCIA,2,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,ESTUDIOS A DISTANCIA,TECNOLOGIA EN ELECTRICIDAD,PREGRADO,OTRA,DISTANCIA,7,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,ESTUDIOS A DISTANCIA,TECNOLOGIA EN GESTION ADMINISTRATIVA DE SERVICIOS DE SALUD,PREGRADO,OTRA,VIRTUAL,4,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,ESTUDIOS A DISTANCIA,TECNOLOGIA EN GESTION COMERCIAL Y FINANCIERA,PREGRADO,OTRA,VIRTUAL,5,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,ESTUDIOS A DISTANCIA,TECNOLOGIA EN MAQUINAS Y HERRAMIENTAS,PREGRADO,OTRA,DISTANCIA,1,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,ESTUDIOS A DISTANCIA,TECNOLOGIA EN OBRAS CIVILES,PREGRADO,OTRA,DISTANCIA,32,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,ESTUDIOS A DISTANCIA,TECNOLOGIA EN REGENCIA DE FARMACIA,PREGRADO,OTRA,DISTANCIA,4,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,INGENIERIA,ARQUITECTURA,PREGRADO,EXTENDIDA,PRESENCIAL,4,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,INGENIERIA,INGENIERIA AMBIENTAL,PREGRADO,DIURNA,PRESENCIAL,4,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,INGENIERIA,INGENIERIA CIVIL,PREGRADO,DIURNA,PRESENCIAL,5,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,INGENIERIA,INGENIERIA DE SISTEMAS Y COMPUTACION,PREGRADO,DIURNA,PRESENCIAL,13,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,INGENIERIA,INGENIERIA DE TRANSPORTE Y VIAS,PREGRADO,DIURNA,PRESENCIAL,4,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,INGENIERIA,INGENIERIA METALURGICA,PREGRADO,DIURNA,PRESENCIAL,4,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,INGENIERIA,TECNICO PROFESIONAL EN PRODUCCION Y TRANSFORMACION DEL ACERO,PREGRADO,OTRA,PRESENCIAL,2,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,SECCIONAL CHIQUINQUIRA,ADMINISTRACION DE EMPRESAS,PREGRADO,NOCTURNA,PRESENCIAL,6,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,SECCIONAL CHIQUINQUIRA,CONTADURIA PUBLICA,PREGRADO,NOCTURNA,PRESENCIAL,9,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,SECCIONAL DUITAMA,ADMINISTRACION DE EMPRESAS AGROPECUARIAS,PREGRADO,DIURNA,PRESENCIAL,10,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,SECCIONAL DUITAMA,ADMINISTRACION INDUSTRIAL,PREGRADO,DIURNA,PRESENCIAL,2,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,SECCIONAL DUITAMA,ADMINISTRACION TURISTICA Y HOTELERA,PREGRADO,DIURNA,PRESENCIAL,8,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,SECCIONAL DUITAMA,DISEÑO INDUSTRIAL,PREGRADO,DIURNA,PRESENCIAL,7,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,SECCIONAL DUITAMA,INGENIERIA ELECTROMECANICA,PREGRADO,DIURNA,PRESENCIAL,3,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,SECCIONAL DUITAMA,LICENCIATURA EN MATEMATICAS,PREGRADO,DIURNA,PRESENCIAL,3,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,SECCIONAL DUITAMA,LICENCIATURA EN MATEMATICAS Y ESTADISTICA,PREGRADO,EXTENDIDA,PRESENCIAL,2,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,SECCIONAL DUITAMA,LICENCIATURA EN TECNOLOGIA,PREGRADO,DIURNA,PRESENCIAL,6,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,SECCIONAL SOGAMOSO,ADMINISTRACION DE EMPRESAS,PREGRADO,EXTENDIDA,PRESENCIAL,7,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,SECCIONAL SOGAMOSO,CONTADURIA PUBLICA,PREGRADO,DIURNA,PRESENCIAL,2,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,SECCIONAL SOGAMOSO,FINANZAS Y COMERCIO INTERNACIONAL,PREGRADO,EXTENDIDA,PRESENCIAL,1,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,SECCIONAL SOGAMOSO,INGENIERIA DE MINAS,PREGRADO,DIURNA,PRESENCIAL,5,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,SECCIONAL SOGAMOSO,INGENIERIA ELECTRONICA,PREGRADO,DIURNA,PRESENCIAL,5,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,SECCIONAL SOGAMOSO,INGENIERIA GEOLOGICA,PREGRADO,DIURNA,PRESENCIAL,1,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,SECCIONAL SOGAMOSO,INGENIERIA INDUSTRIAL,PREGRADO,DIURNA,PRESENCIAL,3,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,CIENCIAS,ESPECIALIZACION EN SEGURIDAD Y CALIDAD ALIMENTARIA,POSGRADO,DIURNA - NOCTURNA,PRESENCIAL,1,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,CIENCIAS,MAESTRIA EN CIENCIAS BIOLOGICAS,POSGRADO,DIURNA - NOCTURNA,PRESENCIAL,1,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,CIENCIAS AGROPECUARIAS,MAESTRIA EN DESARROLLO RURAL,POSGRADO,DIURNA - NOCTURNA,PRESENCIAL,1,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,CIENCIAS DE LA EDUCACION,DOCTORADO EN LENGUAJE Y CULTURA,POSGRADO,DIURNA - NOCTURNA,PRESENCIAL,4,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,CIENCIAS DE LA EDUCACION,ESPECIALIZACION EN ARCHIVISTICA,POSGRADO,DIURNA - NOCTURNA,PRESENCIAL,1,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,CIENCIAS DE LA EDUCACION,ESPECIALIZACION EN GERENCIA EDUCACIONAL,POSGRADO,DIURNA - NOCTURNA,PRESENCIAL,1,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,CIENCIAS DE LA EDUCACION,MAESTRIA EN EDUCACION,POSGRADO,DIURNA - NOCTURNA,PRESENCIAL,1,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,CIENCIAS DE LA EDUCACION,MAESTRIA EN GESTION EDUCATIVA,POSGRADO,DIURNA - NOCTURNA,PRESENCIAL,2,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,CIENCIAS DE LA EDUCACION,MAESTRIA EN LINGUISTICA,POSGRADO,DIURNA - NOCTURNA,PRESENCIAL,3,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,CIENCIAS ECONOMICAS Y ADMINISTRATIVAS,ESPECIALIZACION  EN PLANEACION Y GESTION DEL DESARROLLO TERRITORIAL,POSGRADO,DIURNA - NOCTURNA,PRESENCIAL,2,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,CIENCIAS ECONOMICAS Y ADMINISTRATIVAS,ESPECIALIZACION EN FINANZAS,POSGRADO,DIURNA - NOCTURNA,PRESENCIAL,1,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,CIENCIAS ECONOMICAS Y ADMINISTRATIVAS,ESPECIALIZACION EN NORMAS INTERNACIONALES DE INFORMACION FINANCIERA (NIIF),POSGRADO,DIURNA - NOCTURNA,PRESENCIAL,1,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,CIENCIAS ECONOMICAS Y ADMINISTRATIVAS,MAESTRIA EN ECONOMIA,POSGRADO,DIURNA - NOCTURNA,PRESENCIAL,2,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,DERECHO Y CIENCIAS  SOCIALES,MAESTRIA EN DERECHOS HUMANOS,POSGRADO,DIURNA - NOCTURNA,PRESENCIAL,3,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,ESTUDIOS A DISTANCIA,ESPECIALIZACION EN ALTA GERENCIA DE EMPRESAS,POSGRADO,DIURNA - NOCTURNA,PRESENCIAL,4,2020.0,1,UPTC,NO_ACADEMICA
