periodo,nombre_facultad,nombre_programa,jornada,modalidad,nombre_sede,tipo_iden_est,fecha_nacimiento,genero,estrato,nombre_estado,origen_geografico,lugar_expedicion,edad,grupo_edad,periodo_año,periodo_semestre,estrato_num,grupo_estrato,institucion,tipo_desercion,es_desertor
PRIMER SEMESTRE 2020,INGENIERIA,ESPECIALIZACION EN TRANSITO Y TRANSPORTE,DIURNA - NOCTURA,PRESENCIAL,TUNJA,C.C.,1991-09-15,M,SIN INFORMACIÓN,PERDIO CUPO A 052/2012  ART 15 LIT.A.,TUNJA,NUEVO COLÓN,32,31+,2020.0,1,,,UPTC,ACADEMICA,1
PRIMER SEMESTRE 2020,SECCIONAL DUITAMA,ESPECIALIZACION EN GESTION ESTRATEGICA DE PROYECTOS,DIURNA - NOCTURA,PRESENCIAL,DUITAMA,C.C.,1992-09-06,M,SIN INFORMACIÓN,PERDIO CUPO A 052/2012  ART 15 LIT.A.,DUITAMA,DUITAMA,31,31+,2020.0,1,,,UPTC,ACADEMICA,1
PRIMER SEMESTRE 2020,SECCIONAL SOGAMOSO,ESPECIALIZACION EN INGENIERIA DE PRODUCCION Y OPERACIONES,DIURNA - NOCTURA,PRESENCIAL,SOGAMOSO,C.C.,1987-05-27,M,SIN INFORMACIÓN,PERDIO CUPO A 052/2012  ART 15 LIT.A.,TUNJA,TUNJA,36,31+,2020.0,1,,,UPTC,ACADEMICA,1
PRIMER SEMESTRE 2020,SECCIONAL SOGAMOSO,ESPECIALIZACION EN INGENIERIA DE PRODUCCION Y OPERACIONES,DIURNA - NOCTURA,PRESENCIAL,SOGAMOSO,C.C.,1992-12-11,M,SIN INFORMACIÓN,PERDIO CUPO A 052/2012  ART 15 LIT.A.,SANTA ROSA DE VITERBO,DUITAMA,31,31+,2020.0,1,,,UPTC,ACADEMICA,1
PRIMER SEMESTRE 2020,SECCIONAL SOGAMOSO,"MAESTRIA EN SEGURIDAD Y SALUD EN EL TRABAJO, ENFASIS EN HIGIENE Y SEGURIDAD INDUSTRIAL",DIURNA - NOCTURA,PRESENCIAL,SOGAMOSO,C.C.,1981-02-02,M,SIN INFORMACIÓN,PERDIO CUPO A 052/2012  ART 15 LIT.A.,TUNJA,TUNJA,42,31+,2020.0,1,,,UPTC,ACADEMICA,1
PRIMER SEMESTRE 2020,SECCIONAL TUNJA,TECNICO PROFESIONAL EN INSTALACION Y MANTENIMIENTO DE REDES Y COMPUTADORES,DIURNA - NOCTURA,VIRTUAL,TUNJA,C.C.,2000-09-06,F,SIN INFORMACIÓN,PERDIO CUPO A130/98 ART. 80 LIT. B,PAIPA,PAIPA,23,21-25,2020.0,1,,,UPTC,ACADEMICA,1
PRIMER SEMESTRE 2020,SECCIONAL TUNJA,TECNICO PROFESIONAL EN INSTALACION Y MANTENIMIENTO DE REDES Y COMPUTADORES,DIURNA - NOCTURA,VIRTUAL,TUNJA,C.C.,2002-10-27,F,SIN INFORMACIÓN,PERDIO CUPO A130/98 ART. 80 LIT. B,PAIPA,PAIPA,21,21-25,2020.0,1,,,UPTC,ACADEMICA,1
PRIMER SEMESTRE 2020,SECCIONAL CHIQUINQUIRA,TECNICA PROFESIONAL EN PROCESOS AGROINDUSTRIALES,DIURNA - NOCTURA,VIRTUAL,CHIQUINQUIRA,C.C.,2004-02-16,M,SIN INFORMACIÓN,PERDIO CUPO A130/98 ART. 80 LIT. B,CALDAS,CALDAS,19,16-20,2020.0,1,,,UPTC,ACADEMICA,1
PRIMER SEMESTRE 2020,SECCIONAL CHIQUINQUIRA,TECNICA PROFESIONAL EN PROCESOS AGROINDUSTRIALES,DIURNA - NOCTURA,VIRTUAL,CHIQUINQUIRA,C.C.,2003-01-13,M,SIN INFORMACIÓN,PERDIO CUPO A130/98 ART. 80 LIT. B,CALDAS,CALDAS,20,16-20,2020.0,1,,,UPTC,ACADEMICA,1
SEGUNDO SEMESTRE DE 2020,CIENCIAS AGROPECUARIAS,MAESTRIA EN CIENCIAS VETERINARIAS,DIURNA - NOCTURA,PRESENCIAL,TUNJA,C.C.,1988-06-02,F,SIN INFORMACIÓN,PERDIO CUPO A 052/2012  ART 15 LIT.A.,BOGOTÁ D.C.,BOGOTÁ D.C.,35,31+,2020.0,2,,,UPTC,ACADEMICA,1
SEGUNDO SEMESTRE DE 2020,CIENCIAS AGROPECUARIAS,MAESTRIA EN CIENCIAS VETERINARIAS,DIURNA - NOCTURA,PRESENCIAL,TUNJA,C.C.,1990-03-28,M,SIN INFORMACIÓN,PERDIO CUPO A 052/2012  ART 15 LIT.A.,TUNJA,TUNJA,33,31+,2020.0,2,,,UPTC,ACADEMICA,1
SEGUNDO SEMESTRE DE 2020,CIENCIAS DE LA EDUCACION,DOCTORADO EN LENGUAJE Y CULTURA,DIURNA - NOCTURA,PRESENCIAL,TUNJA,C.C.,1964-12-05,M,SIN INFORMACIÓN,PERDIO CUPO A 052/2012  ART 15 LIT.A.,CHIQUINQUIRÁ,CHIQUINQUIRÁ,59,31+,2020.0,2,,,UPTC,ACADEMICA,1
SEGUNDO SEMESTRE DE 2020,CIENCIAS DE LA EDUCACION,MAESTRIA EN EDUCACION,DIURNA - NOCTURA,PRESENCIAL,TUNJA,C.C.,1984-11-14,M,SIN INFORMACIÓN,PERDIO CUPO A 052/2012  ART 15 LIT.A.,BOGOTA D.E,TUNJA,39,31+,2020.0,2,,,UPTC,ACADEMICA,1
SEGUNDO SEMESTRE DE 2020,CIENCIAS DE LA EDUCACION,MAESTRIA EN HISTORIA,DIURNA - NOCTURA,PRESENCIAL,TUNJA,C.C.,1995-12-27,M,SIN INFORMACIÓN,PERDIO CUPO A 052/2012  ART 15 LIT.A.,NEIVA,VILLA DE LEYVA,28,26-30,2020.0,2,,,UPTC,ACADEMICA,1
SEGUNDO SEMESTRE DE 2020,CIENCIAS ECONOMICAS Y ADMINISTRATIVAS,MAESTRIA EN ECONOMIA,DIURNA - NOCTURA,PRESENCIAL,TUNJA,C.C.,1987-02-21,M,SIN INFORMACIÓN,PERDIO CUPO A 052/2012  ART 15 LIT.B.,DUITAMA,DUITAMA,36,31+,2020.0,2,,,UPTC,ACADEMICA,1
SEGUNDO SEMESTRE DE 2020,DERECHO Y CIENCIAS  SOCIALES,MAESTRIA EN DERECHOS HUMANOS,DIURNA - NOCTURA,PRESENCIAL,TUNJA,C.C.,1982-06-22,F,SIN INFORMACIÓN,PERDIO CUPO A 052/2012  ART 15 LIT.A.,TUNJA,TUNJA,41,31+,2020.0,2,,,UPTC,ACADEMICA,1
SEGUNDO SEMESTRE DE 2020,ESTUDIOS A DISTANCIA,ESPECIALIZACION EN ALTA GERENCIA DE EMPRESAS,DIURNA - NOCTURA,VIRTUAL,TUNJA,C.C.,1992-12-29,M,SIN INFORMACIÓN,PERDIO CUPO A 052/2012  ART 15 LIT.A.,AGUAZUL,DUITAMA,31,31+,2020.0,2,,,UPTC,ACADEMICA,1
SEGUNDO SEMESTRE DE 2020,ESTUDIOS A DISTANCIA,ESPECIALIZACION EN ALTA GERENCIA DE EMPRESAS,DIURNA - NOCTURA,VIRTUAL,TUNJA,C.C.,1993-06-25,M,SIN INFORMACIÓN,PERDIO CUPO A 052/2012  ART 15 LIT.A.,BOGOTA D.E,BOGOTÁ D.C.,30,26-30,2020.0,2,,,UPTC,ACADEMICA,1
SEGUNDO SEMESTRE DE 2020,ESTUDIOS A DISTANCIA,ESPECIALIZACION EN ALTA GERENCIA DE EMPRESAS,DIURNA - NOCTURA,VIRTUAL,TUNJA,C.C.,1993-06-07,M,SIN INFORMACIÓN,PERDIO CUPO A 052/2012  ART 15 LIT.B.,BOGOTÁ D.C.,TUNJA,30,26-30,2020.0,2,,,UPTC,ACADEMICA,1
